	path6	collector	path4	len4	len6
1103	[1103, 286, 174, 2149]	AMS-IX and NL-IX, Amsterdam	[1103, 3257, 174, 2149]	4.0	4.0
1853	[1853, 20965, 174, 2149]	VIX, Vienna	[1853, 1764, 174, 2149]	4.0	4.0
1916	[1916, 20080, 11537, 3549, 174, 2149]	Sao Paulo, Brazil	[1916, 3356, 174, 2149]	4.0	6.0
6667	[6667, 2914, 174, 2149]	Stockholm, Sweden	[6667, 1273, 174, 2149]	4.0	4.0
6720	[6720, 1853, 20965, 174, 2149]	VIX, Vienna	[6720, 1853, 1764, 174, 2149]	5.0	5.0
8607	[8607, 3257, 174, 2149]	LINX, London	[8607, 3356, 174, 2149]	4.0	4.0
9189	[9189, 8422, 174, 2149]	Frankfurt, Germany	[9189, 8422, 1299, 174, 2149]	5.0	4.0
12637	[12637, 3549, 174, 2149]	Milan, Italy	[12637, 174, 2149]	3.0	4.0
15469	[15469, 13030, 2828, 174, 2149]	RIPE NCC, Amsterdam	[15469, 174, 2149]	3.0	5.0
25220	[25220, 1299, 174, 2149]	Frankfurt, Germany	[25220, 13101, 174, 2149]	4.0	4.0
29608	[29608, 6453, 174, 2149]	RIPE NCC, Amsterdam	[29608, 3356, 174, 2149]	4.0	4.0
31019	[31019, 43531, 3257, 174, 2149]	AMS-IX and NL-IX, Amsterdam	[31019, 39326, 3356, 174, 2149]	5.0	5.0
35369	[35369, 174, 2149]	VIX, Vienna	[35369, 3330, 3320, 174, 2149]	5.0	3.0
52888	[52888, 1251, 20080, 2914, 174, 2149]	Sao Paulo, Brazil	[52888, 1916, 3356, 174, 2149]	5.0	6.0
57381	[57381, 50304, 174, 2149]	RIPE NCC, Amsterdam	[57381, 42708, 174, 2149]	4.0	4.0
