	path6	collector	path4	len4	len6
513	[513, 3320, 174, 2149]	CIXP, Geneva	[513, 6730, 174, 2149]	4.0	4.0
680	[680, 3356, 174, 2149]	Frankfurt, Germany	[680, 174, 2149]	3.0	4.0
1853	[1853, 21320, 174, 2149]	VIX, Vienna	[1853, 1764, 174, 2149]	4.0	4.0
1916	[1916, 20080, 11537, 3549, 3356, 174, 2149]	Sao Paulo, Brazil	[1916, 3356, 174, 2149]	4.0	7.0
6679	[6679, 20485, 3491, 174, 2149]	Moscow, Russia	[6679, 20485, 174, 2149]	4.0	5.0
6720	[6720, 1853, 21320, 174, 2149]	VIX, Vienna	[6720, 1853, 1764, 174, 2149]	5.0	5.0
7575	[7575, 6461, 174, 2149]	Palo Alto, USA	[7575, 2914, 174, 2149]	4.0	4.0
8455	[8455, 2914, 174, 2149]	AMS-IX and NL-IX, Amsterdam	[8455, 3257, 174, 2149]	4.0	4.0
9002	[9002, 2914, 174, 2149]	Moscow, Russia	[9002, 3356, 174, 2149]	4.0	4.0
9189	[9189, 8422, 174, 2149]	Frankfurt, Germany	[9189, 8422, 1299, 174, 2149]	5.0	4.0
13030	[13030, 1299, 174, 2149]	New York (NY), USA	[13030, 2828, 174, 2149]	4.0	4.0
14840	[14840, 3549, 3356, 174, 2149]	Sao Paulo, Brazil	[14840, 26615, 6762, 174, 2149]	5.0	5.0
25091	[25091, 2914, 174, 2149]	France-IX, Paris	[25091, 3356, 174, 2149]	4.0	4.0
25152	[25152, 1273, 174, 2149]	Miami, USA	[25152, 19151, 174, 2149]	4.0	4.0
28329	[28329, 3549, 3356, 174, 2149]	Sao Paulo, Brazil	[28329, 6762, 174, 2149]	4.0	5.0
29608	[29608, 6453, 174, 2149]	RIPE NCC, Amsterdam	[29608, 3356, 174, 2149]	4.0	4.0
29636	[29636, 174, 2149]	LINX, London	[29636, 2914, 174, 2149]	4.0	3.0
29686	[29686, 3257, 174, 2149]	Frankfurt, Germany	[29686, 2914, 174, 2149]	4.0	4.0
31122	[31122, 1299, 174, 2149]	France-IX, Paris	[31122, 6453, 174, 2149]	4.0	4.0
31424	[31424, 13030, 1299, 174, 2149]	SwissIX, Zurich	[31424, 3356, 174, 2149]	4.0	5.0
34146	[34146, 25091, 2914, 174, 2149]	SwissIX, Zurich	[34146, 29075, 174, 2149]	4.0	5.0
47872	[47872, 3356, 174, 2149]	Stockholm, Sweden	[47872, 174, 2149]	3.0	4.0
52888	[52888, 1251, 20080, 2914, 174, 2149]	Sao Paulo, Brazil	[52888, 1916, 3356, 174, 2149]	5.0	6.0
53070	[53070, 12989, 16735, 174, 2149]	Sao Paulo, Brazil	[53070, 12989, 6762, 174, 2149]	5.0	5.0
56730	[56730, 51945, 39326, 2914, 174, 2149]	LINX, London	[56730, 51945, 174, 2149]	4.0	6.0
57821	[57821, 12586, 3320, 174, 2149]	RIPE NCC, Amsterdam	[57821, 12586, 13101, 174, 2149]	5.0	5.0
