	path6	collector	path4	len4	len6
1853	[1853, 20965, 174, 2149]	VIX, Vienna	[1853, 1764, 174, 2149]	4.0	4.0
1916	[1916, 20080, 11537, 3549, 174, 2149]	Sao Paulo, Brazil	[1916, 3356, 174, 2149]	4.0	6.0
6679	[6679, 20485, 3356, 174, 2149]	Moscow, Russia	[6679, 174, 2149]	3.0	5.0
6720	[6720, 1853, 20965, 174, 2149]	VIX, Vienna	[6720, 1853, 1764, 174, 2149]	5.0	5.0
6881	[6881, 25512, 174, 2149]	RIPE NCC, Amsterdam	[6881, 29208, 174, 2149]	4.0	4.0
7575	[7575, 2914, 174, 2149]	Palo Alto, USA	[7575, 6461, 174, 2149]	4.0	4.0
9189	[9189, 8422, 174, 2149]	Frankfurt, Germany	[9189, 8422, 1299, 174, 2149]	5.0	4.0
12637	[12637, 3549, 174, 2149]	Milan, Italy	[12637, 174, 2149]	3.0	4.0
13237	[13237, 3257, 174, 2149]	Frankfurt, Germany	[13237, 1299, 174, 2149]	4.0	4.0
25220	[25220, 1299, 174, 2149]	Frankfurt, Germany	[25220, 13101, 174, 2149]	4.0	4.0
29140	[29140, 3320, 174, 2149]	Frankfurt, Germany	[29140, 174, 2149]	3.0	4.0
29608	[29608, 6453, 174, 2149]	RIPE NCC, Amsterdam	[29608, 3356, 174, 2149]	4.0	4.0
31019	[31019, 43531, 2914, 174, 2149]	AMS-IX and NL-IX, Amsterdam	[31019, 39326, 3356, 174, 2149]	5.0	5.0
35369	[35369, 174, 2149]	VIX, Vienna	[35369, 3330, 3320, 174, 2149]	5.0	3.0
37989	[37989, 4844, 2914, 174, 2149]	RIPE NCC, Amsterdam	[37989, 4844, 7473, 174, 2149]	5.0	5.0
52888	[52888, 1251, 20080, 2914, 174, 2149]	Sao Paulo, Brazil	[52888, 1916, 3356, 174, 2149]	5.0	6.0
53070	[53070, 12989, 3549, 174, 2149]	Sao Paulo, Brazil	[53070, 12989, 6762, 174, 2149]	5.0	5.0
56730	[56730, 51945, 39326, 2914, 174, 2149]	LINX, London	[56730, 51945, 174, 2149]	4.0	6.0
