	path4	path6	collector	len4	len6
286	[286, 2914, 42, 27]	[286, 42, 27]	LINX, London	4.0	3.0
513	[513, 11537, 10886, 27]	[513, 21320, 6939, 42, 27]	CIXP, Geneva	4.0	5.0
680	[680, 20965, 11537, 10886, 27]	[680, 6939, 42, 27]	Frankfurt, Germany	5.0	4.0
1916	[1916, 27750, 11537, 10886, 27]	[1916, 6939, 42, 27]	Sao Paulo, Brazil	5.0	4.0
3257	[3257, 46887, 27]	[3257, 42, 27]	Frankfurt, Germany	3.0	3.0
5396	[5396, 6762, 42, 27]	[5396, 6939, 42, 27]	Milan, Italy	4.0	4.0
8426	[8426, 42, 27]	[8426, 6939, 42, 27]	France-IX, Paris	3.0	4.0
8455	[8455, 2914, 42, 27]	[8455, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
12637	[12637, 2914, 42, 27]	[12637, 6939, 42, 27]	Milan, Italy	4.0	4.0
12859	[12859, 42, 27]	[12859, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	3.0	4.0
14840	[14840, 3549, 42, 27]	[14840, 6939, 42, 27]	Sao Paulo, Brazil	4.0	4.0
15435	[15435, 174, 10886, 27]	[15435, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
15605	[15605, 174, 10886, 27]	[15605, 6939, 42, 27]	Milan, Italy	4.0	4.0
20080	[20080, 11096, 42, 27]	[20080, 6939, 42, 27]	Miami, USA	4.0	4.0
25152	[25152, 3257, 46887, 27]	[25152, 6939, 42, 27]	Miami, USA	4.0	4.0
28329	[28329, 6762, 42, 27]	[28329, 3549, 42, 27]	Sao Paulo, Brazil	4.0	4.0
28941	[28941, 174, 10886, 27]	[28941, 6939, 42, 27]	Milan, Italy	4.0	4.0
29608	[29608, 43100, 42, 27]	[29608, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
41497	[41497, 174, 10886, 27]	[41497, 6939, 42, 27]	Milan, Italy	4.0	4.0
47872	[47872, 42, 27]	[47872, 44217, 42, 27]	Stockholm, Sweden	3.0	4.0
49463	[49463, 42, 27]	[49463, 6939, 42, 27]	France-IX, Paris	3.0	4.0
49835	[49835, 2914, 42, 27]	[49835, 6939, 42, 27]	CATNIX, Barcelona	4.0	4.0
50620	[50620, 43100, 42, 27]	[50620, 6939, 42, 27]	France-IX, Paris	4.0	4.0
50763	[50763, 8943, 42, 27]	[50763, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
51405	[51405, 42, 27]	[51405, 6939, 42, 27]	France-IX, Paris	3.0	4.0
52888	[52888, 1251, 11537, 10886, 27]	[52888, 1916, 6939, 42, 27]	Sao Paulo, Brazil	5.0	5.0
57821	[57821, 12586, 31025, 42, 27]	[57821, 6939, 42, 27]	RIPE NCC, Amsterdam	5.0	4.0
59689	[59689, 43100, 42, 27]	[59689, 6939, 42, 27]	France-IX, Paris	4.0	4.0
