	path4	path6	collector	len4	len6
1280	[1280, 19151, 25152]	[1280, 1273, 25152]	Palo Alto, USA	3.0	3.0
1299	[1299, 13237, 25152]	[1299, 8928, 39912, 25152]	LINX, London	3.0	4.0
1853	[1853, 13237, 25152]	[1853, 39912, 25152]	VIX, Vienna	3.0	3.0
1916	[1916, 27750, 20965, 1103, 25152]	[1916, 27750, 11537, 2603, 1103, 25152]	Sao Paulo, Brazil	5.0	6.0
2497	[2497, 25152]	[2497, 6939, 25152]	Palo Alto, USA	2.0	3.0
6667	[6667, 25152]	[6667, 6939, 25152]	Stockholm, Sweden	2.0	3.0
7575	[7575, 25152]	[7575, 6453, 1103, 25152]	Palo Alto, USA	2.0	4.0
8426	[8426, 19151, 25152]	[8426, 6939, 25152]	New York (NY), USA	3.0	3.0
8607	[8607, 25152]	[8607, 6939, 25152]	LINX, London	2.0	3.0
9189	[9189, 6695, 25152]	[9189, 12859, 25152]	Frankfurt, Germany	3.0	3.0
14840	[14840, 26615, 6762, 25152]	[14840, 18881, 3549, 6762, 25152]	Sao Paulo, Brazil	4.0	5.0
29636	[29636, 5459, 25152]	[29636, 6939, 25152]	LINX, London	3.0	3.0
31019	[31019, 25152]	[31019, 1103, 25152]	AMS-IX and NL-IX, Amsterdam	2.0	3.0
