	collector	path4	path6	len4	len6
286	VIX, Vienna	[286, 1257, 8674, 35254, 26415]	[286, 3356, 26415]	5.0	3.0
680	Frankfurt, Germany	[680, 20965, 2107, 26415]	[680, 3356, 26415]	4.0	3.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 2107, 26415]	[1103, 6939, 26415, 36619]	4.0	4.0
1280	Palo Alto, USA	[1280, 3356, 2107, 26415]	[1280, 3356, 26415]	4.0	3.0
1299	LINX, London	[1299, 7342, 36623, 26415]	[1299, 3356, 26415]	4.0	3.0
1853	VIX, Vienna	[1853, 2852, 26415]	[1853, 3356, 26415]	3.0	3.0
2497	Palo Alto, USA	[2497, 7342, 36624, 26415]	[2497, 3356, 26415]	4.0	3.0
3257	Frankfurt, Germany	[3257, 41364, 26415]	[3257, 3356, 26415]	3.0	3.0
4589	Frankfurt, Germany	[4589, 26415]	[4589, 3356, 26415]	2.0	3.0
6667	Stockholm, Sweden	[6667, 3327, 26415]	[6667, 6939, 26415, 36619]	3.0	4.0
6762	Palo Alto, USA	[6762, 8167, 26415]	[6762, 3356, 26415]	3.0	3.0
6881	RIPE NCC, Amsterdam	[6881, 26415]	[6881, 15685, 1299, 3356, 26415]	2.0	5.0
7575	Palo Alto, USA	[7575, 6453, 26415]	[7575, 6939, 26415, 36624]	3.0	4.0
8426	New York (NY), USA	[8426, 7342, 36617, 26415]	[8426, 6939, 26415, 36619]	4.0	4.0
8447	VIX, Vienna	[8447, 16150, 26415]	[8447, 6939, 26415, 36619]	3.0	4.0
8596	VIX, Vienna	[8596, 7342, 36623, 26415]	[8596, 6939, 26415, 36619]	4.0	4.0
8607	LINX, London	[8607, 30827, 26415]	[8607, 6939, 26415, 36619]	3.0	4.0
8758	RIPE NCC, Amsterdam	[8758, 3356, 2107, 26415]	[8758, 6939, 26415, 36619]	4.0	4.0
9002	Moscow, Russia	[9002, 26415]	[9002, 3356, 26415]	2.0	3.0
9189	Frankfurt, Germany	[9189, 3491, 8167, 26415]	[9189, 6695, 6939, 26415, 36619]	4.0	5.0
12637	Milan, Italy	[12637, 26415]	[12637, 3257, 3356, 26415]	2.0	4.0
12779	Milan, Italy	[12779, 8928, 8308, 26415]	[12779, 6939, 26415, 36619]	4.0	4.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 7342, 36623, 26415]	[12859, 6939, 26415, 36619]	4.0	4.0
12989	AMS-IX and NL-IX, Amsterdam	[12989, 16150, 26415]	[12989, 2914, 36619, 26415]	3.0	4.0
13030	New York (NY), USA	[13030, 1273, 12713, 8452, 36885, 26415]	[13030, 26415, 36619]	6.0	3.0
13237	Frankfurt, Germany	[13237, 7342, 36623, 26415]	[13237, 6939, 26415, 36619]	4.0	4.0
14840	Sao Paulo, Brazil	[14840, 17379, 8167, 26415]	[14840, 18881, 3549, 36621, 26415]	4.0	5.0
15469	RIPE NCC, Amsterdam	[15469, 6762, 8167, 26415]	[15469, 6939, 26415, 36619]	4.0	4.0
16735	Sao Paulo, Brazil	[16735, 8167, 26415]	[16735, 6939, 7342, 36619, 26415]	3.0	5.0
19151	Palo Alto, USA	[19151, 7342, 36624, 26415]	[19151, 26415, 36624]	4.0	3.0
22548	Sao Paulo, Brazil	[22548, 8167, 26415]	[22548, 3549, 36621, 26415]	3.0	4.0
28138	Sao Paulo, Brazil	[28138, 16735, 8167, 26415]	[28138, 16735, 6939, 7342, 36619, 26415]	4.0	6.0
28289	Sao Paulo, Brazil	[28289, 53131, 10429, 8167, 26415]	[28289, 53131, 16735, 6939, 7342, 36619, 26415]	5.0	7.0
28917	Moscow, Russia	[28917, 21156, 35254, 26415]	[28917, 6939, 26415, 36619]	4.0	4.0
29049	RIPE NCC, Amsterdam	[29049, 3356, 2107, 26415]	[29049, 3356, 26415]	4.0	3.0
29140	Frankfurt, Germany	[29140, 7342, 36623, 26415]	[29140, 3320, 3356, 26415]	4.0	4.0
29636	LINX, London	[29636, 30827, 26415]	[29636, 6939, 26415, 36619]	3.0	4.0
29686	Frankfurt, Germany	[29686, 8308, 26415]	[29686, 3257, 3356, 26415]	3.0	4.0
34288	Frankfurt, Germany	[34288, 9002, 26415]	[34288, 3356, 26415]	3.0	3.0
34695	Frankfurt, Germany	[34695, 26415]	[34695, 6939, 26415, 36619]	2.0	4.0
35369	VIX, Vienna	[35369, 8591, 29485, 26415]	[35369, 174, 3356, 26415]	4.0	4.0
39912	VIX, Vienna	[39912, 26415]	[39912, 6939, 26415, 36619]	2.0	4.0
42708	LINX, London	[42708, 7342, 36623, 26415]	[42708, 2914, 36619, 26415]	4.0	4.0
