	path4	collector	path6	len4	len6
680	[680, 6939, 1280, 3557]	Frankfurt, Germany	[680, 1299, 1280, 3557]	4.0	4.0
6720	[6720, 6939, 1280, 3557]	VIX, Vienna	[6720, 1853, 6939, 1280, 3557]	4.0	5.0
7575	[7575, 27318, 3557]	Palo Alto, USA	[7575, 1280, 3557]	3.0	3.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30134, 3557]	3.0	3.0
9189	[9189, 6939, 1280, 3557]	Frankfurt, Germany	[9189, 6695, 6939, 1280, 3557]	4.0	5.0
13030	[13030, 1280, 3557]	New York (NY), USA	[13030, 33082, 3557]	3.0	3.0
15469	[15469, 6939, 1280, 3557]	RIPE NCC, Amsterdam	[15469, 13030, 30126, 3557]	4.0	4.0
25152	[25152, 4713, 24047, 3557]	Otemachi, Japan	[25152, 2497, 1280, 3557]	4.0	4.0
28917	[28917, 30132, 3557]	Moscow, Russia	[28917, 30124, 3557]	3.0	3.0
35369	[35369, 6939, 1280, 3557]	VIX, Vienna	[35369, 13030, 30126, 3557]	4.0	4.0
37989	[37989, 4844, 23711, 3557]	RIPE NCC, Amsterdam	[37989, 4844, 6939, 1280, 3557]	4.0	5.0
51185	[51185, 30132, 3557]	Milan, Italy	[51185, 6939, 1280, 3557]	3.0	4.0
57381	[57381, 42708, 33082, 3557]	RIPE NCC, Amsterdam	[57381, 42708, 30132, 3557]	4.0	4.0
