	path4	collector	path6	len4	len6
286	[286, 6939, 1280, 3557]	VIX, Vienna	[286, 30132, 3557]	4.0	3.0
680	[680, 20965, 2200, 3257, 30132, 3557]	Frankfurt, Germany	[680, 6939, 1280, 3557]	6.0	4.0
1853	[1853, 20965, 2200, 3257, 30132, 3557]	VIX, Vienna	[1853, 20965, 1299, 1280, 3557]	6.0	5.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30132, 3557]	3.0	3.0
9189	[9189, 6939, 1280, 3557]	Frankfurt, Germany	[9189, 6695, 6939, 1280, 3557]	4.0	5.0
13030	[13030, 1280, 3557]	New York (NY), USA	[13030, 33082, 3557]	3.0	3.0
14840	[14840, 18881, 12956, 1299, 1280, 3557]	Sao Paulo, Brazil	[14840, 6939, 1280, 3557]	6.0	4.0
15469	[15469, 6939, 1280, 3557]	RIPE NCC, Amsterdam	[15469, 13030, 33082, 3557]	4.0	4.0
28917	[28917, 6939, 1280, 3557]	Moscow, Russia	[28917, 30124, 3557]	4.0	3.0
29049	[29049, 3549, 33082, 3557]	RIPE NCC, Amsterdam	[29049, 6453, 1280, 3557]	4.0	4.0
35369	[35369, 3330, 3320, 1299, 1280, 3557]	VIX, Vienna	[35369, 13030, 33082, 3557]	6.0	4.0
