	path4	path6	collector	len4	len6
286	[286, 3549, 36619, 26415]	[286, 6939, 26415]	VIX, Vienna	4.0	3.0
513	[513, 6730, 3356, 36619, 26415]	[513, 6730, 3356, 26415]	CIXP, Geneva	5.0	4.0
559	[559, 3303, 36619, 26415]	[559, 6939, 26415]	CIXP, Geneva	4.0	3.0
1853	[1853, 3356, 36619, 26415]	[1853, 3356, 26415]	VIX, Vienna	4.0	3.0
1930	[1930, 20965, 3549, 36619, 26415]	[1930, 20965, 1299, 3356, 26415]	RIPE NCC, Amsterdam	5.0	5.0
2497	[2497, 36619, 26415]	[2497, 6939, 26415]	New York (NY), USA	3.0	3.0
3257	[3257, 36619, 26415]	[3257, 6939, 26415]	Frankfurt, Germany	3.0	3.0
4589	[4589, 3549, 36619, 26415]	[4589, 6939, 26415]	Frankfurt, Germany	4.0	3.0
6667	[6667, 3549, 36619, 26415]	[6667, 6939, 26415]	Stockholm, Sweden	4.0	3.0
6762	[6762, 3549, 36619, 26415]	[6762, 6939, 26415]	Frankfurt, Germany	4.0	3.0
6881	[6881, 25512, 3257, 36619, 26415]	[6881, 15685, 29208, 6939, 26415]	RIPE NCC, Amsterdam	5.0	5.0
8447	[8447, 3356, 36619, 26415]	[8447, 6939, 26415]	VIX, Vienna	4.0	3.0
8763	[8763, 8218, 3257, 36619, 26415]	[8763, 6939, 26415]	Frankfurt, Germany	5.0	3.0
9002	[9002, 36619, 26415]	[9002, 6939, 26415]	Moscow, Russia	3.0	3.0
12779	[12779, 1239, 3356, 36619, 26415]	[12779, 3356, 26415]	Milan, Italy	5.0	3.0
13030	[13030, 36619, 26415]	[13030, 6175, 26415]	New York (NY), USA	3.0	3.0
13237	[13237, 3356, 36619, 26415]	[13237, 6939, 26415]	Frankfurt, Germany	4.0	3.0
19151	[19151, 36619, 26415]	[19151, 26415]	Frankfurt, Germany	3.0	2.0
22548	[22548, 3549, 36619, 26415]	[22548, 3549, 7018, 26415]	Sao Paulo, Brazil	4.0	4.0
27319	[27319, 22691, 36619, 26415]	[27319, 6939, 26415]	New York (NY), USA	4.0	3.0
29449	[29449, 5392, 6453, 36619, 26415]	[29449, 30071, 7018, 26415]	Milan, Italy	5.0	4.0
29636	[29636, 2914, 3549, 36619, 26415]	[29636, 6939, 26415]	LINX, London	5.0	3.0
29686	[29686, 3257, 36619, 26415]	[29686, 6939, 26415]	Frankfurt, Germany	4.0	3.0
34695	[34695, 3356, 36619, 26415]	[34695, 12637, 30071, 7018, 26415]	Milan, Italy	4.0	5.0
196613	[196613, 1125, 1103, 6453, 36619, 26415]	[196613, 1125, 1103, 6939, 26415]	RIPE NCC, Amsterdam	6.0	5.0
