	path4	path6	collector	len4	len6
286	[286, 7342, 36622, 26415]	[286, 3356, 36616]	LINX, London	4.0	3.0
553	[553, 3549, 36622, 26415]	[553, 6939, 7342, 36625, 26415]	Frankfurt, Germany	4.0	5.0
680	[680, 3356, 36622, 26415]	[680, 3356, 36616]	Frankfurt, Germany	4.0	3.0
1103	[1103, 7342, 36622, 26415]	[1103, 7342, 36623, 26415]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
1280	[1280, 7342, 36620, 26415]	[1280, 3356, 36616]	Palo Alto, USA	4.0	3.0
1299	[1299, 10026, 36631, 26415]	[1299, 3356, 36616]	LINX, London	4.0	3.0
1853	[1853, 3356, 36622, 26415]	[1853, 3356, 36616]	VIX, Vienna	4.0	3.0
1916	[1916, 20080, 7342, 36619, 26415]	[1916, 20080, 11537, 11164, 7342, 36619, 26415]	Sao Paulo, Brazil	5.0	7.0
2497	[2497, 7342, 36620, 26415]	[2497, 3356, 36616]	Palo Alto, USA	4.0	3.0
2914	[2914, 36619, 26415]	[2914, 36624, 26415]	Palo Alto, USA	3.0	3.0
3257	[3257, 10026, 36631, 26415]	[3257, 3356, 36616]	Frankfurt, Germany	4.0	3.0
4589	[4589, 7342, 36622, 26415]	[4589, 3320, 3356, 36616]	Frankfurt, Germany	4.0	4.0
5396	[5396, 3549, 36622, 26415]	[5396, 6939, 7342, 36625, 26415]	Milan, Italy	4.0	5.0
6667	[6667, 7342, 36622, 26415]	[6667, 6939, 7342, 36625, 26415]	Stockholm, Sweden	4.0	5.0
6762	[6762, 10026, 36631, 26415]	[6762, 3356, 36616]	Palo Alto, USA	4.0	3.0
7575	[7575, 7342, 36620, 26415]	[7575, 6939, 7342, 36624, 26415]	Palo Alto, USA	4.0	5.0
8447	[8447, 7342, 36622, 26415]	[8447, 6939, 7342, 36625, 26415]	VIX, Vienna	4.0	5.0
8596	[8596, 286, 7342, 36622, 26415]	[8596, 6939, 7342, 36625, 26415]	VIX, Vienna	5.0	5.0
8607	[8607, 10026, 36631, 26415]	[8607, 6939, 7342, 36625, 26415]	LINX, London	4.0	5.0
9002	[9002, 7342, 36622, 26415]	[9002, 3356, 36616]	Moscow, Russia	4.0	3.0
9189	[9189, 8422, 7342, 36622, 26415]	[9189, 6695, 6939, 7342, 36625, 26415]	Frankfurt, Germany	5.0	6.0
12637	[12637, 3257, 10026, 36631, 26415]	[12637, 6939, 7342, 36625, 26415]	Milan, Italy	5.0	5.0
12779	[12779, 7342, 36622, 26415]	[12779, 7342, 36625, 26415]	Milan, Italy	4.0	4.0
12859	[12859, 7342, 36622, 26415]	[12859, 7342, 36623, 26415]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
12989	[12989, 7342, 36622, 26415]	[12989, 7342, 36623, 26415]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
13030	[13030, 7342, 36622, 26415]	[13030, 7342, 36625, 26415]	LINX, London	4.0	4.0
13237	[13237, 36622, 26415]	[13237, 6939, 7342, 36625, 26415]	Frankfurt, Germany	3.0	5.0
14840	[14840, 18881, 12956, 7342, 36620, 26415]	[14840, 18881, 3549, 36619, 26415]	Sao Paulo, Brazil	6.0	5.0
15435	[15435, 7342, 36622, 26415]	[15435, 286, 3356, 36616]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
15605	[15605, 174, 10026, 36631, 26415]	[15605, 174, 3356, 36616]	Milan, Italy	5.0	4.0
19151	[19151, 7342, 36620, 26415]	[19151, 26415, 36624]	Palo Alto, USA	4.0	3.0
25091	[25091, 30781, 7342, 36622, 26415]	[25091, 6939, 7342, 36625, 26415]	CIXP, Geneva	5.0	5.0
25152	[25152, 2914, 36631, 26415]	[25152, 2497, 3356, 36616]	Otemachi, Japan	4.0	4.0
25160	[25160, 10026, 36631, 26415]	[25160, 6939, 7342, 36625, 26415]	LINX, London	4.0	5.0
25220	[25220, 7342, 36622, 26415]	[25220, 7342, 36625, 26415]	Frankfurt, Germany	4.0	4.0
28917	[28917, 10026, 36631, 26415]	[28917, 6939, 7342, 36623, 26415]	Moscow, Russia	4.0	5.0
29140	[29140, 41692, 7342, 36622, 26415]	[29140, 6939, 7342, 36623, 26415]	Frankfurt, Germany	5.0	5.0
29611	[29611, 7342, 36622, 26415]	[29611, 6939, 7342, 36625, 26415]	LINX, London	4.0	5.0
29636	[29636, 7342, 36622, 26415]	[29636, 6939, 7342, 36625, 26415]	LINX, London	4.0	5.0
29686	[29686, 21385, 7342, 36622, 26415]	[29686, 3257, 3356, 36616]	Frankfurt, Germany	5.0	4.0
31019	[31019, 7342, 36622, 26415]	[31019, 7342, 36623, 26415]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
34288	[34288, 7342, 36622, 26415]	[34288, 3356, 36616]	Frankfurt, Germany	4.0	3.0
35369	[35369, 8218, 7342, 36622, 26415]	[35369, 6939, 7342, 36625, 26415]	VIX, Vienna	5.0	5.0
39912	[39912, 7342, 36622, 26415]	[39912, 7342, 36625, 26415]	VIX, Vienna	4.0	4.0
48166	[48166, 43531, 7342, 36622, 26415]	[48166, 9002, 3356, 36616]	Frankfurt, Germany	5.0	4.0
50763	[50763, 7342, 36622, 26415]	[50763, 7342, 36623, 26415]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
56730	[56730, 10026, 36631, 26415]	[56730, 6939, 7342, 36625, 26415]	LINX, London	4.0	5.0
