	collector	path6	path4	len4	len6
251	New York (NY), USA	[251, 2497, 7500]	[251, 209, 2516, 7500]	4.0	3.0
286	LINX, London	[286, 6939, 7500]	[286, 2497, 7500]	3.0	3.0
513	CIXP, Geneva	[513, 20965, 2200, 7500]	[513, 10764, 11537, 22388, 7660, 2500, 7500]	7.0	4.0
553	Frankfurt, Germany	[553, 6939, 7500]	[553, 1299, 3257, 7500]	4.0	3.0
680	Frankfurt, Germany	[680, 3257, 7500]	[680, 3356, 24785, 7500]	4.0	3.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 2200, 7500]	[1103, 20965, 11537, 22388, 7660, 2500, 7500]	7.0	4.0
1280	Palo Alto, USA	[1280, 2500, 7500]	[1280, 2914, 2497, 7500]	4.0	3.0
1836	RIPE NCC, Amsterdam	[1836, 6939, 7500]	[1836, 174, 24785, 7500]	4.0	3.0
1853	VIX, Vienna	[1853, 6939, 7500]	[1853, 1764, 3257, 7500]	4.0	3.0
1916	Sao Paulo, Brazil	[1916, 6939, 7500]	[1916, 27750, 11537, 22388, 7660, 2500, 7500]	7.0	3.0
3252	Moscow, Russia	[3252, 6939, 7500]	[3252, 174, 24785, 7500]	4.0	3.0
5396	Milan, Italy	[5396, 6939, 7500]	[5396, 3257, 7500]	3.0	3.0
6679	Moscow, Russia	[6679, 6939, 7500]	[6679, 20485, 7500]	3.0	3.0
6720	VIX, Vienna	[6720, 1853, 6939, 7500]	[6720, 8447, 3257, 7500]	4.0	4.0
6881	RIPE NCC, Amsterdam	[6881, 6939, 7500]	[6881, 3257, 7500]	3.0	3.0
7575	Palo Alto, USA	[7575, 6453, 2518, 7500]	[7575, 11537, 22388, 7660, 2500, 7500]	6.0	4.0
8447	VIX, Vienna	[8447, 6939, 7500]	[8447, 3257, 7500]	3.0	3.0
8455	AMS-IX and NL-IX, Amsterdam	[8455, 6939, 7500]	[8455, 3257, 7500]	3.0	3.0
8596	VIX, Vienna	[8596, 6939, 7500]	[8596, 43531, 7500]	3.0	3.0
8758	RIPE NCC, Amsterdam	[8758, 6939, 7500]	[8758, 8220, 7500]	3.0	3.0
9002	Moscow, Russia	[9002, 7500]	[9002, 2497, 7500]	3.0	2.0
9189	Frankfurt, Germany	[9189, 6695, 6939, 7500]	[9189, 8422, 41095, 24785, 7500]	5.0	4.0
9304	New York (NY), USA	[9304, 6939, 7500]	[9304, 7500]	2.0	3.0
12779	Milan, Italy	[12779, 6939, 7500]	[12779, 41095, 24785, 7500]	4.0	3.0
13030	New York (NY), USA	[13030, 6939, 7500]	[13030, 2516, 7500]	3.0	3.0
13237	Frankfurt, Germany	[13237, 6939, 7500]	[13237, 41095, 24785, 7500]	4.0	3.0
14840	Sao Paulo, Brazil	[14840, 18881, 3549, 3257, 7500]	[14840, 26615, 6762, 7500]	4.0	5.0
15605	Milan, Italy	[15605, 6939, 7500]	[15605, 12874, 3257, 7500]	4.0	3.0
16735	Sao Paulo, Brazil	[16735, 6939, 7500]	[16735, 2497, 7500]	3.0	3.0
19151	Palo Alto, USA	[19151, 6939, 7500]	[19151, 2497, 7500]	3.0	3.0
22548	Sao Paulo, Brazil	[22548, 16735, 6939, 7500]	[22548, 16735, 2497, 7500]	4.0	4.0
22652	RIPE NCC, Amsterdam	[22652, 6939, 7500]	[22652, 41095, 24785, 7500]	4.0	3.0
25152	Otemachi, Japan	[25152, 2500, 7500]	[25152, 2497, 7500]	3.0	3.0
25160	LINX, London	[25160, 6939, 7500]	[25160, 174, 24785, 7500]	4.0	3.0
25220	Frankfurt, Germany	[25220, 6939, 7500]	[25220, 3257, 7500]	3.0	3.0
28917	Moscow, Russia	[28917, 6939, 7500]	[28917, 41095, 24785, 7500]	4.0	3.0
28941	Milan, Italy	[28941, 6939, 7500]	[28941, 3356, 24785, 7500]	4.0	3.0
29140	Frankfurt, Germany	[29140, 6939, 7500]	[29140, 3257, 7500]	3.0	3.0
29611	LINX, London	[29611, 6939, 7500]	[29611, 41095, 24785, 7500]	4.0	3.0
29636	LINX, London	[29636, 3257, 7500]	[29636, 41095, 24785, 7500]	4.0	3.0
29686	Frankfurt, Germany	[29686, 6939, 7500]	[29686, 3257, 7500]	3.0	3.0
34781	CIXP, Geneva	[34781, 6939, 7500]	[34781, 13030, 2516, 7500]	4.0	3.0
41497	Milan, Italy	[41497, 6939, 7500]	[41497, 3257, 7500]	3.0	3.0
50763	AMS-IX and NL-IX, Amsterdam	[50763, 6939, 7500]	[50763, 8943, 3356, 24785, 7500]	5.0	3.0
51185	Milan, Italy	[51185, 6939, 7500]	[51185, 3356, 24785, 7500]	4.0	3.0
52720	Sao Paulo, Brazil	[52720, 6939, 7500]	[52720, 1239, 2497, 7500]	4.0	3.0
52888	Sao Paulo, Brazil	[52888, 1916, 6939, 7500]	[52888, 1251, 11537, 22388, 7660, 2500, 7500]	7.0	4.0
53070	Sao Paulo, Brazil	[53070, 12989, 6939, 7500]	[53070, 12989, 2516, 7500]	4.0	4.0
56730	LINX, London	[56730, 6939, 7500]	[56730, 51945, 39326, 41095, 24785, 7500]	6.0	3.0
57821	RIPE NCC, Amsterdam	[57821, 6939, 7500]	[57821, 12586, 3257, 7500]	4.0	3.0
