	collector	path6	path4	len4	len6
286	VIX, Vienna	[286, 3257, 7500]	[286, 7500]	2.0	3.0
1280	Palo Alto, USA	[1280, 2500, 7500]	[1280, 7500]	2.0	3.0
2914	Palo Alto, USA	[2914, 7500]	[2914, 2497, 7500]	3.0	2.0
6667	Stockholm, Sweden	[6667, 3257, 7500]	[6667, 2516, 7500]	3.0	3.0
6939	Palo Alto, USA	[6939, 7500]	[6939, 10026, 2518, 7500]	4.0	2.0
7575	Palo Alto, USA	[7575, 11537, 22388, 7660, 2500, 7500]	[7575, 24490, 20965, 2200, 7500]	5.0	6.0
8447	VIX, Vienna	[8447, 3257, 7500]	[8447, 6939, 10026, 2518, 7500]	5.0	3.0
12779	Milan, Italy	[12779, 3257, 7500]	[12779, 3549, 10026, 2518, 7500]	5.0	3.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 3257, 7500]	[12859, 6939, 10026, 2518, 7500]	5.0	3.0
13030	New York (NY), USA	[13030, 3257, 7500]	[13030, 2516, 7500]	3.0	3.0
13237	Frankfurt, Germany	[13237, 6939, 7500]	[13237, 6939, 10026, 2518, 7500]	5.0	3.0
19151	Palo Alto, USA	[19151, 6939, 7500]	[19151, 2497, 7500]	3.0	3.0
20640	Frankfurt, Germany	[20640, 3257, 7500]	[20640, 6939, 10026, 2518, 7500]	5.0	3.0
28138	Sao Paulo, Brazil	[28138, 6939, 7500]	[28138, 16735, 6762, 7500]	4.0	3.0
28917	Moscow, Russia	[28917, 3257, 7500]	[28917, 6939, 10026, 2518, 7500]	5.0	3.0
29636	LINX, London	[29636, 3257, 7500]	[29636, 39326, 6939, 10026, 2518, 7500]	6.0	3.0
30132	AMS-IX and NL-IX, Amsterdam	[30132, 3257, 7500]	[30132, 6939, 10026, 2518, 7500]	5.0	3.0
34288	Frankfurt, Germany	[34288, 6939, 7500]	[34288, 174, 7500]	3.0	3.0
34695	Milan, Italy	[34695, 3257, 7500]	[34695, 10026, 2518, 7500]	4.0	3.0
42708	LINX, London	[42708, 6939, 7500]	[42708, 6939, 10026, 2518, 7500]	5.0	3.0
