	collector	path4	path6	len4	len6
680	Frankfurt, Germany	[680, 12731, 20144]	[680, 20965, 5408, 8522, 20144]	3.0	5.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 5408, 8522, 20144]	[1103, 2603, 7575, 20144]	5.0	4.0
1299	LINX, London	[1299, 8473, 20144]	[1299, 8218, 20144]	3.0	3.0
1853	VIX, Vienna	[1853, 2852, 20144]	[1853, 8218, 20144]	3.0	3.0
1916	Sao Paulo, Brazil	[1916, 20144]	[1916, 22548, 20144]	2.0	3.0
2914	Palo Alto, USA	[2914, 7782, 20144]	[2914, 38639, 20144]	3.0	3.0
4589	Frankfurt, Germany	[4589, 8473, 20144]	[4589, 6939, 20144]	3.0	3.0
6667	Stockholm, Sweden	[6667, 6939, 20144]	[6667, 21011, 20144]	3.0	3.0
6881	RIPE NCC, Amsterdam	[6881, 20144]	[6881, 6939, 20144]	2.0	3.0
8447	VIX, Vienna	[8447, 8218, 20144]	[8447, 6939, 20144]	3.0	3.0
9002	Moscow, Russia	[9002, 12883, 20144]	[9002, 20144]	3.0	2.0
9189	Frankfurt, Germany	[9189, 6939, 20144]	[9189, 6695, 6939, 20144]	3.0	4.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 8473, 20144]	[12859, 39138, 20144]	3.0	3.0
12989	AMS-IX and NL-IX, Amsterdam	[12989, 20144]	[12989, 16735, 22548, 20144]	2.0	4.0
13237	Frankfurt, Germany	[13237, 8218, 20144]	[13237, 6939, 20144]	3.0	3.0
14840	Sao Paulo, Brazil	[14840, 20144]	[14840, 22548, 20144]	2.0	3.0
15469	Milan, Italy	[15469, 5580, 8954, 20144]	[15469, 39912, 29208, 15685, 25192, 20144]	4.0	6.0
16735	Sao Paulo, Brazil	[16735, 20144]	[16735, 22548, 20144]	2.0	3.0
28289	Sao Paulo, Brazil	[28289, 20144]	[28289, 22548, 20144]	2.0	3.0
29049	RIPE NCC, Amsterdam	[29049, 12731, 20144]	[29049, 20144]	3.0	2.0
29608	RIPE NCC, Amsterdam	[29608, 20144]	[29608, 6939, 20144]	2.0	3.0
29636	LINX, London	[29636, 6939, 20144]	[29636, 5580, 8954, 20144]	3.0	4.0
29686	Frankfurt, Germany	[29686, 30781, 20144]	[29686, 6939, 20144]	3.0	3.0
30844	LINX, London	[30844, 6939, 20144]	[30844, 13030, 25091, 20144]	3.0	4.0
35369	VIX, Vienna	[35369, 42, 20144]	[35369, 6939, 20144]	3.0	3.0
39912	Milan, Italy	[39912, 5580, 8954, 20144]	[39912, 29208, 15685, 25192, 20144]	4.0	5.0
48166	Frankfurt, Germany	[48166, 21011, 20144]	[48166, 9002, 20144]	3.0	3.0
50300	RIPE NCC, Amsterdam	[50300, 6939, 20144]	[50300, 8218, 20144]	3.0	3.0
50304	RIPE NCC, Amsterdam	[50304, 6939, 20144]	[50304, 30071, 20144]	3.0	3.0
57381	RIPE NCC, Amsterdam	[57381, 42708, 20144]	[57381, 42708, 6939, 20144]	3.0	4.0
57821	RIPE NCC, Amsterdam	[57821, 12731, 20144]	[57821, 6939, 20144]	3.0	3.0
