	collector	path4	path6	len4	len6
286	VIX, Vienna	[286, 6939, 20144]	[286, 5577, 20144]	3.0	3.0
680	Frankfurt, Germany	[680, 6939, 20144]	[680, 20965, 5408, 8522, 20144]	3.0	5.0
1853	VIX, Vienna	[1853, 2852, 20144]	[1853, 8218, 20144]	3.0	3.0
2497	Palo Alto, USA	[2497, 3356, 20144]	[2497, 8218, 20144]	3.0	3.0
2914	Palo Alto, USA	[2914, 24990, 20144]	[2914, 30781, 20144]	3.0	3.0
3257	Frankfurt, Germany	[3257, 8954, 20144]	[3257, 6939, 20144]	3.0	3.0
6667	Stockholm, Sweden	[6667, 6939, 20144]	[6667, 21011, 20144]	3.0	3.0
6762	Palo Alto, USA	[6762, 34224, 34984, 50146, 20144]	[6762, 6939, 20144]	5.0	3.0
6850	Moscow, Russia	[6850, 21011, 20144]	[6850, 35320, 15626, 20144]	3.0	4.0
6881	RIPE NCC, Amsterdam	[6881, 20144]	[6881, 6939, 20144]	2.0	3.0
8426	New York (NY), USA	[8426, 23148, 20144]	[8426, 6939, 20144]	3.0	3.0
8447	VIX, Vienna	[8447, 8218, 20144]	[8447, 6939, 20144]	3.0	3.0
8596	VIX, Vienna	[8596, 23148, 20144]	[8596, 5577, 20144]	3.0	3.0
8607	LINX, London	[8607, 8218, 20144]	[8607, 6939, 20144]	3.0	3.0
9002	Moscow, Russia	[9002, 43355, 48268, 15685, 20144]	[9002, 21011, 20144]	5.0	3.0
9189	Frankfurt, Germany	[9189, 6939, 20144]	[9189, 6695, 5577, 20144]	3.0	4.0
12637	Milan, Italy	[12637, 34695, 20144]	[12637, 3257, 6939, 20144]	3.0	4.0
12779	Milan, Italy	[12779, 34695, 20144]	[12779, 5577, 20144]	3.0	3.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 23148, 20144]	[12859, 5577, 20144]	3.0	3.0
13030	New York (NY), USA	[13030, 36944, 2018, 20144]	[13030, 6939, 20144]	4.0	3.0
13237	Frankfurt, Germany	[13237, 8218, 20144]	[13237, 5577, 20144]	3.0	3.0
15469	Milan, Italy	[15469, 34695, 20144]	[15469, 6939, 20144]	3.0	3.0
28917	Moscow, Russia	[28917, 9002, 43355, 48268, 15685, 20144]	[28917, 35320, 15626, 20144]	6.0	4.0
29140	Frankfurt, Germany	[29140, 23148, 20144]	[29140, 5577, 20144]	3.0	3.0
34695	Frankfurt, Germany	[34695, 20144]	[34695, 5577, 20144]	2.0	3.0
35369	VIX, Vienna	[35369, 12301, 50146, 20144]	[35369, 8218, 20144]	4.0	3.0
39912	Milan, Italy	[39912, 34695, 20144]	[39912, 8218, 20144]	3.0	3.0
42708	LINX, London	[42708, 23148, 20144]	[42708, 5577, 20144]	3.0	3.0
