	collector	path4	path6	len4	len6
553	Frankfurt, Germany	[553, 12731, 20144]	[553, 6939, 20144]	3.0	3.0
680	Frankfurt, Germany	[680, 6939, 20144]	[680, 25091, 20144]	3.0	3.0
1836	SwissIX, Zurich	[1836, 6939, 20144]	[1836, 25091, 20144]	3.0	3.0
1853	VIX, Vienna	[1853, 2852, 20144]	[1853, 8218, 20144]	3.0	3.0
3252	Moscow, Russia	[3252, 12883, 20144]	[3252, 21011, 20144]	3.0	3.0
3257	Frankfurt, Germany	[3257, 20144]	[3257, 12883, 20144]	2.0	3.0
4589	Frankfurt, Germany	[4589, 8473, 20144]	[4589, 8218, 20144]	3.0	3.0
6679	Moscow, Russia	[6679, 13238, 20144]	[6679, 25091, 20144]	3.0	3.0
6720	VIX, Vienna	[6720, 6939, 20144]	[6720, 8218, 20144]	3.0	3.0
8426	France-IX, Paris	[8426, 6939, 20144]	[8426, 8218, 20144]	3.0	3.0
8758	SwissIX, Zurich	[8758, 25091, 20144]	[8758, 6939, 20144]	3.0	3.0
9002	Moscow, Russia	[9002, 2854, 20144]	[9002, 3327, 41798, 21282, 20144]	3.0	5.0
9189	Frankfurt, Germany	[9189, 12731, 20144]	[9189, 6695, 25091, 20144]	3.0	4.0
12779	France-IX, Paris	[12779, 8928, 20144]	[12779, 6939, 20144]	3.0	3.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 8473, 20144]	[12859, 12731, 20144]	3.0	3.0
13030	New York (NY), USA	[13030, 6939, 20144]	[13030, 8359, 3327, 41798, 21282, 20144]	3.0	6.0
13237	Frankfurt, Germany	[13237, 6939, 20144]	[13237, 25091, 20144]	3.0	3.0
14061	Palo Alto, USA	[14061, 6939, 20144]	[14061, 23148, 20144]	3.0	3.0
15435	AMS-IX and NL-IX, Amsterdam	[15435, 23148, 20144]	[15435, 8218, 20144]	3.0	3.0
20640	Frankfurt, Germany	[20640, 6939, 20144]	[20640, 12731, 20144]	3.0	3.0
25220	Frankfurt, Germany	[25220, 30781, 20144]	[25220, 25091, 20144]	3.0	3.0
28917	Moscow, Russia	[28917, 13238, 20144]	[28917, 51028, 41798, 21282, 20144]	3.0	5.0
29608	RIPE NCC, Amsterdam	[29608, 20144]	[29608, 6939, 20144]	2.0	3.0
29636	LINX, London	[29636, 6939, 20144]	[29636, 5580, 8954, 20144]	3.0	4.0
29686	Frankfurt, Germany	[29686, 23148, 20144]	[29686, 30781, 20144]	3.0	3.0
31019	AMS-IX and NL-IX, Amsterdam	[31019, 6939, 20144]	[31019, 8218, 20144]	3.0	3.0
31424	SwissIX, Zurich	[31424, 20144]	[31424, 25091, 20144]	2.0	3.0
34146	SwissIX, Zurich	[34146, 6939, 20144]	[34146, 25091, 20144]	3.0	3.0
34288	SwissIX, Zurich	[34288, 23148, 20144]	[34288, 12731, 20144]	3.0	3.0
48526	France-IX, Paris	[48526, 30781, 20144]	[48526, 6939, 20144]	3.0	3.0
49463	France-IX, Paris	[49463, 6939, 20144]	[49463, 23148, 20144]	3.0	3.0
50304	RIPE NCC, Amsterdam	[50304, 23148, 20144]	[50304, 8218, 20144]	3.0	3.0
56730	LINX, London	[56730, 13238, 20144]	[56730, 33920, 20144]	3.0	3.0
57381	RIPE NCC, Amsterdam	[57381, 50304, 23148, 20144]	[57381, 50304, 8218, 20144]	4.0	4.0
57821	RIPE NCC, Amsterdam	[57821, 12731, 20144]	[57821, 6939, 20144]	3.0	3.0
198290	France-IX, Paris	[198290, 6939, 20144]	[198290, 20562, 48635, 8954, 20144]	3.0	5.0
202032	SwissIX, Zurich	[202032, 6939, 20144]	[202032, 25091, 20144]	3.0	3.0
202194	SwissIX, Zurich	[202194, 35054, 25091, 20144]	[202194, 25091, 20144]	4.0	3.0
