	collector	path6	path4	len4	len6
286	LINX, London	[286, 6939, 7500]	[286, 2497, 7500]	3.0	3.0
513	CIXP, Geneva	[513, 20965, 2200, 7500]	[513, 10764, 11537, 22388, 7660, 2500, 7500]	7.0	4.0
553	Frankfurt, Germany	[553, 6939, 7500]	[553, 1299, 24785, 7500]	4.0	3.0
680	Frankfurt, Germany	[680, 3257, 7500]	[680, 3356, 24785, 7500]	4.0	3.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 2200, 7500]	[1103, 20965, 11537, 22388, 7660, 2500, 7500]	7.0	4.0
1280	Palo Alto, USA	[1280, 2500, 7500]	[1280, 2914, 2497, 7500]	4.0	3.0
1836	SwissIX, Zurich	[1836, 6939, 7500]	[1836, 174, 24785, 7500]	4.0	3.0
1853	VIX, Vienna	[1853, 6939, 7500]	[1853, 1764, 3257, 7500]	4.0	3.0
1916	Sao Paulo, Brazil	[1916, 6939, 7500]	[1916, 27750, 11537, 22388, 7660, 2500, 7500]	7.0	3.0
2613	CIXP, Geneva	[2613, 6939, 7500]	[2613, 25091, 7500]	3.0	3.0
3252	Moscow, Russia	[3252, 6939, 7500]	[3252, 174, 24785, 7500]	4.0	3.0
3491	NAP Africa JB, Johannesburg	[3491, 3257, 7500]	[3491, 2497, 7500]	3.0	3.0
5396	Milan, Italy	[5396, 6939, 7500]	[5396, 3257, 7500]	3.0	3.0
6720	VIX, Vienna	[6720, 1853, 6939, 7500]	[6720, 8447, 3257, 7500]	4.0	4.0
8218	France-IX, Paris	[8218, 7500]	[8218, 1273, 24785, 7500]	4.0	2.0
8426	France-IX, Paris	[8426, 6939, 7500]	[8426, 41095, 24785, 7500]	4.0	3.0
8455	AMS-IX and NL-IX, Amsterdam	[8455, 6939, 7500]	[8455, 3257, 7500]	3.0	3.0
8596	VIX, Vienna	[8596, 6939, 7500]	[8596, 43531, 7500]	3.0	3.0
8758	SwissIX, Zurich	[8758, 6939, 7500]	[8758, 8220, 7500]	3.0	3.0
9002	Moscow, Russia	[9002, 7500]	[9002, 2497, 7500]	3.0	2.0
9189	Frankfurt, Germany	[9189, 6939, 7500]	[9189, 8422, 41095, 24785, 7500]	5.0	3.0
9304	New York (NY), USA	[9304, 6939, 7500]	[9304, 7500]	2.0	3.0
13030	New York (NY), USA	[13030, 1273, 24785, 7500]	[13030, 2497, 7500]	3.0	4.0
13237	Frankfurt, Germany	[13237, 6939, 7500]	[13237, 41095, 24785, 7500]	4.0	3.0
14061	Palo Alto, USA	[14061, 6939, 7500]	[14061, 2914, 2497, 7500]	4.0	3.0
14840	Sao Paulo, Brazil	[14840, 6939, 7500]	[14840, 26615, 6762, 7500]	4.0	3.0
15547	France-IX, Paris	[15547, 6939, 7500]	[15547, 43531, 7500]	3.0	3.0
15605	Milan, Italy	[15605, 6939, 7500]	[15605, 174, 24785, 7500]	4.0	3.0
16735	Sao Paulo, Brazil	[16735, 6939, 7500]	[16735, 2497, 7500]	3.0	3.0
19151	Palo Alto, USA	[19151, 6939, 7500]	[19151, 2497, 7500]	3.0	3.0
20080	Miami, USA	[20080, 6939, 7500]	[20080, 11096, 11164, 2497, 7500]	5.0	3.0
20612	SwissIX, Zurich	[20612, 6939, 7500]	[20612, 8758, 8220, 7500]	4.0	3.0
20764	Moscow, Russia	[20764, 6939, 7500]	[20764, 3356, 24785, 7500]	4.0	3.0
22652	RIPE NCC, Amsterdam	[22652, 6939, 7500]	[22652, 41095, 24785, 7500]	4.0	3.0
25091	France-IX, Paris	[25091, 6939, 7500]	[25091, 7500]	2.0	3.0
25160	LINX, London	[25160, 6939, 7500]	[25160, 174, 24785, 7500]	4.0	3.0
25220	Frankfurt, Germany	[25220, 6939, 7500]	[25220, 3257, 7500]	3.0	3.0
28329	Sao Paulo, Brazil	[28329, 6939, 7500]	[28329, 6762, 7500]	3.0	3.0
28917	Moscow, Russia	[28917, 6939, 7500]	[28917, 41095, 24785, 7500]	4.0	3.0
28941	Milan, Italy	[28941, 6939, 7500]	[28941, 3356, 24785, 7500]	4.0	3.0
29636	LINX, London	[29636, 3257, 7500]	[29636, 41095, 24785, 7500]	4.0	3.0
29691	SwissIX, Zurich	[29691, 6939, 7500]	[29691, 6730, 7500]	3.0	3.0
34781	SwissIX, Zurich	[34781, 6939, 7500]	[34781, 1299, 24785, 7500]	4.0	3.0
37271	NAP Africa JB, Johannesburg	[37271, 6939, 7500]	[37271, 3356, 24785, 7500]	4.0	3.0
41497	Milan, Italy	[41497, 6939, 7500]	[41497, 3257, 7500]	3.0	3.0
47872	Stockholm, Sweden	[47872, 6939, 7500]	[47872, 28917, 41095, 24785, 7500]	5.0	3.0
49835	CATNIX, Barcelona	[49835, 6939, 7500]	[49835, 2914, 2497, 7500]	4.0	3.0
50620	France-IX, Paris	[50620, 6939, 7500]	[50620, 7500]	2.0	3.0
50763	AMS-IX and NL-IX, Amsterdam	[50763, 6939, 7500]	[50763, 8943, 3356, 24785, 7500]	5.0	3.0
51185	Milan, Italy	[51185, 6939, 7500]	[51185, 3356, 24785, 7500]	4.0	3.0
51405	France-IX, Paris	[51405, 6939, 7500]	[51405, 24611, 6661, 7500]	4.0	3.0
52720	Sao Paulo, Brazil	[52720, 6939, 7500]	[52720, 52873, 12956, 3257, 7500]	5.0	3.0
52888	Sao Paulo, Brazil	[52888, 6939, 7500]	[52888, 1251, 11537, 22388, 7660, 2500, 7500]	7.0	3.0
53070	Sao Paulo, Brazil	[53070, 6939, 7500]	[53070, 10429, 12956, 3257, 7500]	5.0	3.0
56730	LINX, London	[56730, 6939, 7500]	[56730, 51945, 39326, 41095, 24785, 7500]	6.0	3.0
57118	SwissIX, Zurich	[57118, 6939, 7500]	[57118, 196621, 15576, 8220, 7500]	5.0	3.0
57821	RIPE NCC, Amsterdam	[57821, 6939, 7500]	[57821, 12586, 3257, 7500]	4.0	3.0
62567	New York (NY), USA	[62567, 6939, 7500]	[62567, 2914, 2497, 7500]	4.0	3.0
196621	SwissIX, Zurich	[196621, 15576, 6939, 7500]	[196621, 15576, 8220, 7500]	4.0	4.0
198249	SwissIX, Zurich	[198249, 6939, 7500]	[198249, 15576, 8220, 7500]	4.0	3.0
263584	Sao Paulo, Brazil	[263584, 6939, 7500]	[263584, 263321, 18881, 3549, 3356, 24785, 7500]	7.0	3.0
