	collector	path6	path4	len4	len6
286	VIX, Vienna	[286, 3257, 7500]	[286, 7500]	2.0	3.0
513	CIXP, Geneva	[513, 6730, 6939, 7500]	[513, 6730, 7500]	3.0	4.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 2200, 7500]	[1103, 3257, 7500]	3.0	4.0
1280	Palo Alto, USA	[1280, 2500, 7500]	[1280, 2516, 7500]	3.0	3.0
1853	VIX, Vienna	[1853, 20965, 2200, 7500]	[1853, 3356, 2516, 7500]	4.0	4.0
1930	RIPE NCC, Amsterdam	[1930, 20965, 2200, 7500]	[1930, 20965, 3549, 3257, 7500]	5.0	4.0
6667	Stockholm, Sweden	[6667, 3257, 7500]	[6667, 2516, 7500]	3.0	3.0
7575	Palo Alto, USA	[7575, 24490, 20965, 2200, 7500]	[7575, 7500]	2.0	5.0
8447	VIX, Vienna	[8447, 3257, 7500]	[8447, 3320, 3257, 7500]	4.0	3.0
8763	Frankfurt, Germany	[8763, 3257, 7500]	[8763, 8218, 2497, 7500]	4.0	3.0
12637	Milan, Italy	[12637, 3257, 7500]	[12637, 174, 7500]	3.0	3.0
12779	Milan, Italy	[12779, 3257, 7500]	[12779, 1239, 3257, 7500]	4.0	3.0
30132	AMS-IX and NL-IX, Amsterdam	[30132, 3257, 7500]	[30132, 6939, 7500]	3.0	3.0
34695	Milan, Italy	[34695, 3257, 7500]	[34695, 174, 7500]	3.0	3.0
196613	RIPE NCC, Amsterdam	[196613, 1125, 1103, 20965, 2200, 7500]	[196613, 1125, 1103, 3257, 7500]	5.0	6.0
