	collector	path6	path4	len4	len6
680	Frankfurt, Germany	[680, 6939, 8674, 29216]	[680, 3356, 2611, 8674, 29216]	5.0	4.0
6679	Moscow, Russia	[6679, 20485, 8674, 29216]	[6679, 47872, 44395, 41965, 42109, 8674, 29216]	7.0	4.0
6881	RIPE NCC, Amsterdam	[6881, 6939, 8674, 29216]	[6881, 3257, 2611, 8674, 29216]	5.0	4.0
8283	AMS-IX and NL-IX, Amsterdam	[8283, 12552, 8674, 29216]	[8283, 2603, 8674, 29216]	4.0	4.0
8447	VIX, Vienna	[8447, 6939, 8674, 29216]	[8447, 8674, 29216]	3.0	4.0
8596	VIX, Vienna	[8596, 8674, 29216]	[8596, 48039, 31025, 42708, 8674, 29216]	6.0	3.0
8758	RIPE NCC, Amsterdam	[8758, 3356, 2611, 8674, 29216]	[8758, 6830, 8674, 29216]	4.0	5.0
13030	New York (NY), USA	[13030, 2603, 8674, 29216]	[13030, 8674, 29216]	3.0	4.0
14840	Sao Paulo, Brazil	[14840, 6939, 8674, 29216]	[14840, 8674, 29216]	3.0	4.0
20640	Frankfurt, Germany	[20640, 6695, 8674, 29216]	[20640, 42708, 8674, 29216]	4.0	4.0
22652	RIPE NCC, Amsterdam	[22652, 6939, 8674, 29216]	[22652, 6453, 8674, 29216]	4.0	4.0
28917	Moscow, Russia	[28917, 8674, 29216]	[28917, 47872, 44395, 41965, 42109, 8674, 29216]	7.0	3.0
29608	RIPE NCC, Amsterdam	[29608, 6939, 8674, 29216]	[29608, 3356, 2611, 8674, 29216]	5.0	4.0
48166	Frankfurt, Germany	[48166, 8674, 29216]	[48166, 42708, 8674, 29216]	4.0	3.0
52720	Sao Paulo, Brazil	[52720, 6939, 8674, 29216]	[52720, 28329, 2914, 8674, 29216]	5.0	4.0
52888	Sao Paulo, Brazil	[52888, 1916, 6939, 8674, 29216]	[52888, 1916, 8674, 29216]	4.0	5.0
57381	RIPE NCC, Amsterdam	[57381, 42708, 8674, 29216]	[57381, 50304, 8674, 29216]	4.0	4.0
57821	RIPE NCC, Amsterdam	[57821, 6939, 8674, 29216]	[57821, 48039, 31025, 42708, 8674, 29216]	6.0	4.0
