	collector	path6	path4	len4	len6
513	CIXP, Geneva	[513, 11537, 2603, 224, 8674, 29216]	[513, 10764, 22335, 8674, 29216]	5.0	6.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 2603, 224, 8674, 29216]	[1103, 2603, 8674, 29216]	4.0	5.0
1836	RIPE NCC, Amsterdam	[1836, 6939, 8674, 29216]	[1836, 8674, 29216]	3.0	4.0
1916	Sao Paulo, Brazil	[1916, 6939, 8674, 29216]	[1916, 8674, 29216]	3.0	4.0
3252	Moscow, Russia	[3252, 8674, 29216]	[3252, 2603, 8674, 29216]	4.0	3.0
5396	Milan, Italy	[5396, 6939, 8674, 29216]	[5396, 8966, 35313, 8674, 29216]	5.0	4.0
6881	RIPE NCC, Amsterdam	[6881, 6939, 8674, 29216]	[6881, 3257, 2611, 8674, 29216]	5.0	4.0
7575	Palo Alto, USA	[7575, 7606, 8674, 29216]	[7575, 2603, 8674, 29216]	4.0	4.0
8447	VIX, Vienna	[8447, 6939, 8674, 29216]	[8447, 8674, 29216]	3.0	4.0
8758	RIPE NCC, Amsterdam	[8758, 174, 2611, 8674, 29216]	[8758, 8966, 35313, 8674, 29216]	5.0	5.0
13030	New York (NY), USA	[13030, 8966, 35313, 8674, 29216]	[13030, 2497, 8674, 29216]	4.0	5.0
15605	Milan, Italy	[15605, 6939, 8674, 29216]	[15605, 12874, 42708, 8674, 29216]	5.0	4.0
20640	Frankfurt, Germany	[20640, 6695, 8674, 29216]	[20640, 42708, 8674, 29216]	4.0	4.0
22652	RIPE NCC, Amsterdam	[22652, 6939, 8674, 29216]	[22652, 5580, 8674, 29216]	4.0	4.0
25152	Otemachi, Japan	[25152, 2914, 8674, 29216]	[25152, 2497, 8674, 29216]	4.0	4.0
25160	LINX, London	[25160, 6939, 8674, 29216]	[25160, 2603, 8674, 29216]	4.0	4.0
28917	Moscow, Russia	[28917, 8932, 41965, 42109, 8674, 29216]	[28917, 47872, 8932, 41965, 42109, 8674, 29216]	7.0	6.0
29140	Frankfurt, Germany	[29140, 8674, 29216]	[29140, 42708, 8674, 29216]	4.0	3.0
29608	RIPE NCC, Amsterdam	[29608, 6939, 8674, 29216]	[29608, 3356, 2611, 8674, 29216]	5.0	4.0
34781	CIXP, Geneva	[34781, 8674, 29216]	[34781, 42708, 8674, 29216]	4.0	3.0
41497	Milan, Italy	[41497, 6939, 8674, 29216]	[41497, 174, 2611, 8674, 29216]	5.0	4.0
52888	Sao Paulo, Brazil	[52888, 1916, 6939, 8674, 29216]	[52888, 1916, 8674, 29216]	4.0	5.0
57381	RIPE NCC, Amsterdam	[57381, 42708, 8674, 29216]	[57381, 50304, 8674, 29216]	4.0	4.0
57821	RIPE NCC, Amsterdam	[57821, 6939, 8674, 29216]	[57821, 12586, 31025, 42708, 8674, 29216]	6.0	4.0
