	collector	path6	path4	len4	len6
286	LINX, London	[286, 2914, 8674, 29216]	[286, 1257, 8674, 29216]	4.0	4.0
680	Frankfurt, Germany	[680, 6939, 8674, 29216]	[680, 20965, 2603, 8674, 29216]	5.0	4.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 2603, 224, 8674, 29216]	[1103, 20965, 2603, 8674, 29216]	5.0	5.0
1916	Sao Paulo, Brazil	[1916, 6939, 8674, 29216]	[1916, 8674, 29216]	3.0	4.0
3257	Frankfurt, Germany	[3257, 2611, 20965, 2603, 224, 8674, 29216]	[3257, 2611, 8674, 29216]	4.0	7.0
5396	Milan, Italy	[5396, 6939, 8674, 29216]	[5396, 8966, 35313, 8674, 29216]	5.0	4.0
6667	Stockholm, Sweden	[6667, 2497, 8674, 29216]	[6667, 8674, 29216]	3.0	4.0
6679	Moscow, Russia	[6679, 6939, 8674, 29216]	[6679, 9002, 8674, 29216]	4.0	4.0
6762	Palo Alto, USA	[6762, 8966, 35313, 8674, 29216]	[6762, 10026, 7497, 24151, 8674, 29216]	6.0	5.0
6881	RIPE NCC, Amsterdam	[6881, 6939, 8674, 29216]	[6881, 3257, 2611, 8674, 29216]	5.0	4.0
7575	Palo Alto, USA	[7575, 2603, 224, 8674, 29216]	[7575, 11537, 22335, 8674, 29216]	5.0	5.0
8447	VIX, Vienna	[8447, 6939, 8674, 29216]	[8447, 8674, 29216]	3.0	4.0
8758	RIPE NCC, Amsterdam	[8758, 6939, 8674, 29216]	[8758, 6830, 8674, 29216]	4.0	4.0
15469	RIPE NCC, Amsterdam	[15469, 6939, 8674, 29216]	[15469, 3356, 2611, 8674, 29216]	5.0	4.0
22652	RIPE NCC, Amsterdam	[22652, 6939, 8674, 29216]	[22652, 3257, 2611, 8674, 29216]	5.0	4.0
29608	RIPE NCC, Amsterdam	[29608, 6939, 8674, 29216]	[29608, 2611, 8674, 29216]	4.0	4.0
29636	LINX, London	[29636, 6939, 8674, 29216]	[29636, 2603, 8674, 29216]	4.0	4.0
48166	Frankfurt, Germany	[48166, 12389, 8674, 29216]	[48166, 8966, 35313, 8674, 29216]	5.0	4.0
52888	Sao Paulo, Brazil	[52888, 1916, 6939, 8674, 29216]	[52888, 1916, 8674, 29216]	4.0	5.0
57381	RIPE NCC, Amsterdam	[57381, 50304, 8674, 29216]	[57381, 42708, 8674, 29216]	4.0	4.0
57821	RIPE NCC, Amsterdam	[57821, 6939, 8674, 29216]	[57821, 48039, 3320, 702, 8674, 29216]	6.0	4.0
