	path4	collector	path6	len4	len6
286	[286, 6939, 1280, 3557]	VIX, Vienna	[286, 30132, 3557]	4.0	3.0
680	[680, 6939, 1280, 3557]	Frankfurt, Germany	[680, 3549, 33082, 3557]	4.0	4.0
1280	[1280, 3557]	Palo Alto, USA	[1280]	2.0	1.0
2497	[2497, 1280, 3557]	Palo Alto, USA	[2497, 1280]	3.0	2.0
3257	[3257, 30132, 3557]	Frankfurt, Germany	[3257, 1280]	3.0	2.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30132, 3557]	3.0	3.0
9189	[9189, 6939, 1280, 3557]	Frankfurt, Germany	[9189, 6695, 6939, 1280, 3557]	4.0	5.0
13030	[13030, 1280, 3557]	New York (NY), USA	[13030, 33082, 3557]	3.0	3.0
15469	[15469, 6939, 1280, 3557]	RIPE NCC, Amsterdam	[15469, 13030, 33082, 3557]	4.0	4.0
16735	[16735, 22548, 30122, 3557]	Sao Paulo, Brazil	[16735, 6762, 1280]	4.0	3.0
22548	[22548, 30122, 3557]	Sao Paulo, Brazil	[22548, 16735, 6762, 1280]	3.0	4.0
28138	[28138, 22548, 30122, 3557]	Sao Paulo, Brazil	[28138, 16735, 6762, 1280]	4.0	4.0
28289	[28289, 16735, 22548, 30122, 3557]	Sao Paulo, Brazil	[28289, 53131, 16735, 6762, 1280]	5.0	5.0
28917	[28917, 6939, 1280, 3557]	Moscow, Russia	[28917, 30124, 3557]	4.0	3.0
34695	[34695, 30130, 3557]	Milan, Italy	[34695, 6939, 1280, 3557]	3.0	4.0
35369	[35369, 3330, 3320, 3549, 6939, 1280, 3557]	VIX, Vienna	[35369, 13030, 33082, 3557]	7.0	4.0
53070	[53070, 22548, 30122, 3557]	Sao Paulo, Brazil	[53070, 16735, 6762, 1280]	4.0	4.0
