	path4	collector	path6	len4	len6
680	[680, 6939, 1280, 3557]	Frankfurt, Germany	[680, 1299, 1280, 3557]	4.0	4.0
7575	[7575, 23708, 3557]	Palo Alto, USA	[7575, 1280, 3557]	3.0	3.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30132, 3557]	3.0	3.0
9189	[9189, 6939, 1280, 3557]	Frankfurt, Germany	[9189, 6695, 6939, 1280, 3557]	4.0	5.0
13030	[13030, 30132, 3557]	New York (NY), USA	[13030, 33082, 3557]	3.0	3.0
22652	[22652, 30130, 3557]	RIPE NCC, Amsterdam	[22652, 6939, 1280, 3557]	3.0	4.0
28289	[28289, 16735, 22548, 30122, 3557]	Sao Paulo, Brazil	[28289, 53131, 16735, 22548, 30122, 3557]	5.0	6.0
28917	[28917, 6939, 1280, 3557]	Moscow, Russia	[28917, 30124, 3557]	4.0	3.0
29049	[29049, 3549, 33082, 3557]	RIPE NCC, Amsterdam	[29049, 1299, 1280, 3557]	4.0	4.0
30844	[30844, 33081, 3557]	RIPE NCC, Amsterdam	[30844, 6939, 1280, 3557]	3.0	4.0
34695	[34695, 30130, 3557]	Milan, Italy	[34695, 6939, 1280, 3557]	3.0	4.0
35369	[35369, 6939, 1280, 3557]	VIX, Vienna	[35369, 13030, 33082, 3557]	4.0	4.0
48166	[48166, 33082, 3557]	Frankfurt, Germany	[48166, 30124, 3557]	3.0	3.0
50304	[50304, 6939, 1280, 3557]	RIPE NCC, Amsterdam	[50304, 1299, 1280, 3557]	4.0	4.0
